discouted_price,discouted_rate,game_name,game_url,img_url,original_price,platform,rating,release_date
Rp 101 999                    ,15%,Nightmare Reaper,https://store.steampowered.com/app/1051690/Nightmare_Reaper/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/1051690/capsule_sm_120.jpg?t=1648587042,Rp 119 999,win,"Overwhelmingly Positive 96% of the 1,129 user reviews for this game are positive.","28 Mar, 2022"
Rp 42 499                    ,75%,Euro Truck Simulator 2,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/227300/capsule_sm_120.jpg?t=1646406984,Rp 169 999,"win,mac,linux","Overwhelmingly Positive 97% of the 397,458 user reviews for this game are positive.  This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.","12 Oct, 2012"
,,Ready or Not,https://store.steampowered.com/app/1144200/Ready_or_Not/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/1144200/capsule_sm_120.jpg?t=1639785519,Rp 199 999,win,"Very Positive 93% of the 39,070 user reviews for this game are positive.","17 Dec, 2021"
,,Rust,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/252490/capsule_sm_120.jpg?t=1645133322,Rp 169 999,"win,mac","Very Positive 87% of the 616,368 user reviews for this game are positive.","8 Feb, 2018"
,,Rust,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/252490/capsule_sm_120.jpg?t=1645133322,Rp 169 999,"win,mac","Very Positive 87% of the 616,368 user reviews for this game are positive.","8 Feb, 2018"
,,EA Play,https://store.steampowered.com/app/1289670/EA_Play/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/1289670/capsule_sm_120.jpg?t=1634331719,Rp 60 000,win,,"31 Aug, 2020"
Rp 143 550                    ,55%,Hunt: Showdown,https://store.steampowered.com/app/594650/Hunt_Showdown/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/594650/capsule_sm_120_alt_assets_2.jpg?t=1648537464,Rp 319 000,win,"Very Positive 84% of the 95,807 user reviews for this game are positive.","27 Aug, 2019"
,,NARAKA: BLADEPOINT,https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/1203220/capsule_sm_120.jpg?t=1647625187,Rp 220 000,win,"Very Positive 80% of the 85,697 user reviews for this game are positive.","11 Aug, 2021"
,,It Takes Two,https://store.steampowered.com/app/1426210/It_Takes_Two/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/1426210/capsule_sm_120.jpg?t=1643015238,Rp 479 000,win,"Overwhelmingly Positive 96% of the 71,211 user reviews for this game are positive.","25 Mar, 2021"
Rp 146 694                    ,91%,Sid Meier's Civilization VI : Platinum Edition,https://store.steampowered.com/bundle/12218/Sid_Meiers_Civilization_VI__Platinum_Edition/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/bundles/12218/7cg856d5iyp2m6b2/capsule_sm_120.jpg?t=1570208553,Rp 1 643 996,"win,mac,linux","Very Positive 81% of the 157,245 user reviews for games in this bundle are positive.",
,,MONSTER HUNTER RISE,https://store.steampowered.com/app/1446780/MONSTER_HUNTER_RISE/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/1446780/capsule_sm_120.jpg?t=1647883081,Rp 847 999,win,"Very Positive 87% of the 16,851 user reviews for this game are positive.","12 Jan, 2022"
,,LEGO® Star Wars™: The Skywalker Saga,https://store.steampowered.com/app/920210/LEGO_Star_Wars_The_Skywalker_Saga/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/920210/capsule_sm_120.jpg?t=1643148138,Rp 622 000,win,,"5 Apr, 2022"
,,Stardew Valley,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/413150/capsule_sm_120.jpg?t=1608624324,Rp 115 999,"win,mac,linux","Overwhelmingly Positive 98% of the 379,647 user reviews for this game are positive.","26 Feb, 2016"
,,God of War,https://store.steampowered.com/app/1593500/God_of_War/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/1593500/capsule_sm_120.jpg?t=1642526157,Rp 729 000,win,"Overwhelmingly Positive 97% of the 31,469 user reviews for this game are positive.","14 Jan, 2022"
,,Sea of Thieves,https://store.steampowered.com/app/1172620/Sea_of_Thieves/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/1172620/capsule_sm_120.jpg?t=1648169657,Rp 169 999,win,"Very Positive 90% of the 177,087 user reviews for this game are positive.","3 Jun, 2020"
Rp 190 224                    ,75%,Euro Truck Simulator 2 Map Booster,https://store.steampowered.com/bundle/5555/Euro_Truck_Simulator_2_Map_Booster/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/bundles/5555/liv1vt9cn3j11ykr/capsule_sm_120.jpg?t=1617904863,Rp 745 994,"win,mac,linux","Very Positive 92% of the 14,464 user reviews for games in this bundle are positive.",
,,Football Manager 2022,https://store.steampowered.com/app/1569040/Football_Manager_2022/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/1569040/capsule_sm_120.jpg?t=1638787050,Rp 549 999,"win,mac","Very Positive 91% of the 8,148 user reviews for this game are positive.","8 Nov, 2021"
,,The Forest,https://store.steampowered.com/app/242760/The_Forest/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/242760/capsule_sm_120.jpg?t=1590522045,Rp 108 999,"win,vr_supported","Overwhelmingly Positive 95% of the 299,807 user reviews for this game are positive.","30 Apr, 2018"
Rp 59 999                    ,50%,House Flipper,https://store.steampowered.com/app/613100/House_Flipper/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/613100/capsule_sm_120.jpg?t=1648211001,Rp 119 999,"win,mac","Very Positive 92% of the 50,931 user reviews for this game are positive.","17 May, 2018"
Rp 227 225                    ,43%,Gold Box Classics,https://store.steampowered.com/bundle/24494/Gold_Box_Classics/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/bundles/24494/6ed0ld524b6ezdoi/capsule_sm_120.jpg?t=1648561713,Rp 398 994,win,Mostly Positive 76% of the 13 user reviews for games in this bundle are positive.,
Rp 38 149                    ,65%,theHunter: Call of the Wild™,https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/518790/capsule_sm_120.jpg?t=1645524263,Rp 108 999,win,"Very Positive 87% of the 88,000 user reviews for this game are positive.","16 Feb, 2017"
Rp 152 660                    ,66%,Assetto Corsa Competizione,https://store.steampowered.com/app/805550/Assetto_Corsa_Competizione/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/805550/capsule_sm_120.jpg?t=1638536142,Rp 449 000,"win,vr_supported","Very Positive 90% of the 13,374 user reviews for this game are positive.","29 May, 2019"
,,Valheim,https://store.steampowered.com/app/892970/Valheim/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/892970/capsule_sm_120.jpg?t=1647939640,Rp 108 999,"win,linux","Overwhelmingly Positive 95% of the 292,212 user reviews for this game are positive.","2 Feb, 2021"
Rp 83 999                    ,30%,Green Hell,https://store.steampowered.com/app/815370/Green_Hell/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/815370/capsule_sm_120.jpg?t=1648575636,Rp 119 999,win,"Very Positive 87% of the 32,678 user reviews for this game are positive.","5 Sep, 2019"
Rp 71 014                    ,76%,The Escapists 2 - Game of the Year Edition,https://store.steampowered.com/bundle/11725/The_Escapists_2__Game_of_the_Year_Edition/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/bundles/11725/lk1y56vq98pkl4e1/capsule_sm_120.jpg?t=1565097307,Rp 299 996,"win,mac,linux","Very Positive 90% of the 18,132 user reviews for games in this bundle are positive.",
,,Project Zomboid,https://store.steampowered.com/app/108600/Project_Zomboid/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/108600/capsule_sm_120.jpg?t=1644611871,Rp 108 999,"win,mac,linux","Very Positive 92% of the 68,184 user reviews for this game are positive.","8 Nov, 2013"
Rp 175 305                    ,57%,NEKOPARA,https://store.steampowered.com/bundle/676/NEKOPARA/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/bundles/676/qmlr1cydqrpc48k6/capsule_sm_120.jpg?t=1619812892,Rp 411 968,win,"Overwhelmingly Positive 96% of the 64,930 user reviews for games in this bundle are positive.",
,,Destiny 2: The Witch Queen Deluxe Edition,https://store.steampowered.com/app/1656350/Destiny_2_The_Witch_Queen_Deluxe_Edition/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/1656350/capsule_sm_120.jpg?t=1648584410,Rp 919 999,win,Very Positive 85% of the 770 user reviews for this game are positive.,"22 Feb, 2022"
,,Destiny 2: The Witch Queen,https://store.steampowered.com/app/1656330/Destiny_2_The_Witch_Queen/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/1656330/capsule_sm_120.jpg?t=1648584408,Rp 459 999,win,"Very Positive 85% of the 1,314 user reviews for this game are positive.","22 Feb, 2022"
,,Pummel Party,https://store.steampowered.com/app/880940/Pummel_Party/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/880940/capsule_sm_120.jpg?t=1585242250,Rp 95 999,win,"Very Positive 89% of the 28,612 user reviews for this game are positive.","20 Sep, 2018"
Rp 76 799                    ,20%,Potion Craft: Alchemist Simulator,https://store.steampowered.com/app/1210320/Potion_Craft_Alchemist_Simulator/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/1210320/capsule_sm_120.jpg?t=1641691513,Rp 95 999,win,"Very Positive 93% of the 9,039 user reviews for this game are positive.","21 Sep, 2021"
Rp 31 999                    ,20%,DEVOUR,https://store.steampowered.com/app/1274570/DEVOUR/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/1274570/capsule_sm_120.jpg?t=1648240360,Rp 39 999,"win,mac","Very Positive 92% of the 28,451 user reviews for this game are positive.","28 Jan, 2021"
,,Ghostwire: Tokyo,https://store.steampowered.com/app/1475810/Ghostwire_Tokyo/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/1475810/capsule_sm_120.jpg?t=1648479992,Rp 494 900,win,"Very Positive 81% of the 2,286 user reviews for this game are positive.","24 Mar, 2022"
,,Destiny 2: The Witch Queen Deluxe + Bungie 30th Anniversary Bundle,https://store.steampowered.com/app/1656360/Destiny_2_The_Witch_Queen_Deluxe__Bungie_30th_Anniversary_Bundle/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/1656360/capsule_sm_120.jpg?t=1648584411,Rp 1 149 999,win,Very Positive 91% of the 59 user reviews for this game are positive.,"22 Feb, 2022"
Rp 124 859                    ,76%,Euro Truck Simulator 2 Essentials,https://store.steampowered.com/bundle/1923/Euro_Truck_Simulator_2_Essentials/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/bundles/1923/hxbutxuvno2u8duj/capsule_sm_120.jpg?t=1479770978,Rp 517 994,"win,mac,linux","Overwhelmingly Positive 97% of the 408,806 user reviews for games in this bundle are positive.  This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",
Rp 39 750                    ,75%,The Escapists 2,https://store.steampowered.com/app/641990/The_Escapists_2/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/641990/capsule_sm_120.jpg?t=1643290783,Rp 159 000,"win,mac,linux","Very Positive 90% of the 17,971 user reviews for this game are positive.","21 Aug, 2017"
Rp 303 999                    ,20%,Wartales,https://store.steampowered.com/app/1527950/Wartales/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/1527950/capsule_sm_120.jpg?t=1648076669,Rp 379 999,win,"Very Positive 90% of the 4,013 user reviews for this game are positive.","1 Dec, 2021"
Rp 94 999                    ,50%,Transport Fever 2,https://store.steampowered.com/app/1066780/Transport_Fever_2/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/1066780/capsule_sm_120.jpg?t=1648486173,Rp 189 999,"win,mac,linux","Very Positive 87% of the 13,150 user reviews for this game are positive.","11 Dec, 2019"
,,Warframe: Garuda Prime Access - Seeking Talons Bundle,https://store.steampowered.com/bundle/25293/Warframe_Garuda_Prime_Access__Seeking_Talons_Bundle/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/bundles/25293/11mrgloaqoshh7bf/capsule_sm_120.jpg?t=1648493863,Rp 840 000,win,Mostly Positive 76% of the 13 user reviews for games in this bundle are positive.,
,,Age of Empires IV,https://store.steampowered.com/app/1466860/Age_of_Empires_IV/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/1466860/capsule_sm_120.jpg?t=1639781270,Rp 249 999,win,"Very Positive 86% of the 24,304 user reviews for this game are positive.","28 Oct, 2021"
,,Longvinter,https://store.steampowered.com/app/1635450/Longvinter/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/1635450/capsule_sm_120.jpg?t=1648571891,Rp 102 999,win,Mostly Positive 70% of the 848 user reviews for this game are positive.,"24 Feb, 2022"
,,Sekiro™: Shadows Die Twice - GOTY Edition,https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/814380/capsule_sm_120.jpg?t=1603904569,Rp 729 000,win,"Very Positive 94% of the 123,983 user reviews for this game are positive.","21 Mar, 2019"
Rp 549 626                    ,56%,Borderlands 3 Ultimate Edition,https://store.steampowered.com/bundle/16675/Borderlands_3_Ultimate_Edition/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/bundles/16675/g2acfhv84umle2oa/capsule_sm_120.jpg?t=1604930220,Rp 1 258 000,win,"Very Positive 83% of the 77,305 user reviews for games in this bundle are positive.",
Rp 191 999                    ,20%,Police Simulator: Patrol Officers,https://store.steampowered.com/app/997010/Police_Simulator_Patrol_Officers/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/997010/capsule_sm_120.jpg?t=1646840243,Rp 239 999,win,"Very Positive 86% of the 5,204 user reviews for this game are positive.","17 Jun, 2021"
,,WWE 2K22,https://store.steampowered.com/app/1255630/WWE_2K22/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/1255630/capsule_sm_120.jpg?t=1647296505,Rp 659 000,win,"Mostly Positive 76% of the 2,315 user reviews for this game are positive.","10 Mar, 2022"
Rp 90 000                    ,85%,Sid Meier’s Civilization® VI,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/289070/capsule_sm_120.jpg?t=1643315625,Rp 600 000,"win,mac,linux","Very Positive 83% of the 149,175 user reviews for this game are positive.","20 Oct, 2016"
Rp 390 401                    ,63%,Two Point Hospital: The Healthiest Collection,https://store.steampowered.com/bundle/22708/Two_Point_Hospital_The_Healthiest_Collection/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/bundles/22708/wu4sma7sj5q809al/capsule_sm_120.jpg?t=1633021990,Rp 1 067 289,"win,mac,linux,music","Very Positive 91% of the 20,462 user reviews for games in this bundle are positive.",
,,Risk of Rain 2: Survivors of the Void,https://store.steampowered.com/app/1607890/Risk_of_Rain_2_Survivors_of_the_Void/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/1607890/capsule_sm_120.jpg?t=1646153758,Rp 80 999,win,"Very Positive 85% of the 3,443 user reviews for this game are positive.","1 Mar, 2022"
,,Vampire Survivors,https://store.steampowered.com/app/1794680/Vampire_Survivors/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/1794680/capsule_sm_120.jpg?t=1645731024,Rp 24 999,"win,mac","Overwhelmingly Positive 98% of the 66,042 user reviews for this game are positive.","17 Dec, 2021"
Rp 112 499                    ,10%,Euro Truck Simulator 2 - Iberia,https://store.steampowered.com/app/1209460/Euro_Truck_Simulator_2__Iberia/?snr=1_7_7_7000_150_3,https://cdn.cloudflare.steamstatic.com/steam/apps/1209460/capsule_sm_120.jpg?t=1626023908,Rp 124 999,"win,mac,linux","Mostly Positive 77% of the 1,549 user reviews for this game are positive.","8 Apr, 2021"
